x,y
55,21
27,21
83,63
27,0
55,63
27,0
55,0
27,63
55,21
27,42
27,0
83,63
27,0
55,0
27,42
83,0
83,21
0,21
83,63
55,21
27,42
55,63
83,42
27,0
27,21
83,0
83,0
83,21
27,21
27,63
83,0
0,42
27,21
83,0
0,42
83,63
27,0
83,21
27,63
27,0
27,21
0,21
83,0
83,0
0,21
83,21
0,63
83,42
83,63
27,21
83,63
0,63
83,0
27,0
83,0
55,0
83,42
27,63
0,42
55,21
83,0
0,21
55,63
0,0
0,0
83,0
27,0
83,0
83,21
55,63
83,42
55,21
27,42
55,63
0,21
27,0
83,0
55,63
0,0
0,63
55,42
27,0
27,42
27,63
0,21
55,21
83,0
27,0
83,0
55,42
55,21
83,0
83,21
55,42
0,21
83,0
83,0
27,63
83,63
0,63
0,63
0,21
55,21
83,0
0,21
83,63
83,0
0,42
83,0
83,42
83,21
0,0
83,42
0,42
55,42
83,21
83,21
27,0
83,42
27,21
83,0
55,63
0,63
55,42
83,0
0,42
55,63
83,0
0,0
55,42
83,0
83,21
83,63
55,21
0,21
83,63
0,21
0,42
27,0
83,21
83,21
27,0
27,0
83,21
27,42
55,21
27,0
55,42
55,21
83,0
27,42
55,42
27,63
83,21
83,0
27,21
0,0
0,42
55,63
27,0
27,21
27,63
0,63
83,63
0,42
27,21
55,63
55,63
55,0
83,63
0,42
0,21
83,63
83,21
27,0
27,42
27,0
0,21
83,21
55,0
83,63
83,21
55,63
0,42
27,0
27,0
83,42
27,0
83,21
0,0
55,21
83,0
27,0
0,21
27,42
83,63
83,0
27,0
55,42
83,63
55,63
27,63
83,21
0,63
83,0
0,63
83,21
27,21
27,63
55,63
27,63
0,63
83,21
0,63
0,21
83,21
55,63
55,21
0,42
0,0
27,63
0,63
55,42
55,0
0,63
0,21
27,0
83,63
83,21
27,0
83,63
0,42
0,0
55,21
27,63
27,63
0,42
0,63
0,63
55,21
83,63
27,0
0,63
0,63
83,63
27,63
83,0
83,21
27,0
83,0
55,0
27,21
83,63
55,42
83,63
83,42
27,63
83,21
55,0
55,0
55,0
83,42
55,0
55,0
55,0
0,42
27,63
0,42
0,0
0,63
0,63
0,63
83,42
0,63
27,63
27,63
83,42
0,63
0,63
83,42
27,63
0,21
83,42
27,21
83,21
0,21
0,21
55,63
0,0
27,63
0,0
27,63
0,21
55,21
0,0
27,21
55,0
0,0
27,42
27,42
55,0
27,0
27,0
27,21
27,0
55,0
27,21
55,0
0,0
0,0
0,21
27,0
27,0
55,42
27,21
55,42
55,21
27,63
27,0
55,21
27,0
0,0
83,63
0,63
55,0
55,0
0,21
55,42
27,0
27,0
0,0
0,0
0,42
55,63
83,63
27,63
27,0
27,63
83,21
0,21
55,42
27,63
0,21
0,63
55,42
27,63
27,63
83,63
83,0
0,21
27,63
0,63
55,21
27,63
0,21
83,42
0,63
27,0
27,63
55,63
55,63
27,42
27,63
27,63
0,21
83,21
55,21
27,63
83,63
55,63
27,63
0,42
27,42
55,0
83,21
0,21
0,0
0,21
0,42
55,63
55,63
0,21
27,63
27,0
83,0
83,42
55,21
55,63
27,42
27,21
83,63
27,42
27,0
83,21
83,63
0,0
0,42
83,63
83,0
0,42
83,63
55,42
83,42
83,42
55,42
0,63
27,63
55,21
0,42
0,0
83,21
83,63
83,0
0,0
27,21
83,63
55,0
0,21
0,0
83,42
55,21
55,0
27,42
55,42
0,0
83,21
55,0
0,0
83,42
83,0
55,63
55,0
55,0
27,21
27,63
0,21
55,42
83,63
55,63
55,0
55,63
27,21
83,63
55,42
27,42
0,42
0,42
27,63
55,42
27,42
27,0
27,42
27,63
83,21
0,42
55,0
0,42
55,42
55,42
0,21
55,42
27,42
27,63
83,63
83,63
27,21
27,21
55,0
83,63
0,63
55,0
0,42
27,42
55,0
83,0
83,42
55,63
83,42
55,21
83,21
0,21
83,0
0,42
0,42
27,0
27,42
83,42
55,63
83,63
0,42
0,42
55,0
83,42
27,63
0,42
83,63
0,0
27,42
0,42
0,0
55,42
27,21
83,42
27,21
0,63
83,63
55,21
27,42
55,0
0,42
0,42
83,63
55,42
0,42
83,21
0,42
27,42
55,42
0,21
55,21
0,63
55,21
0,42
55,21
0,63
55,21
0,0
27,0
83,63
55,21
55,21
0,0
0,21
83,21
83,0
0,0
0,0
27,63
83,63
0,0
0,0
55,0
55,21
55,63
55,21
83,63
0,63
55,42
0,42
27,21
0,42
0,63
55,21
0,21
55,21
27,21
0,0
83,63
0,0
0,63
0,21
55,21
55,21
27,63
83,42
27,42
27,0
0,63
55,0
0,21
0,21
0,0
83,0
55,0
0,63
55,0
83,21
0,0
55,63
0,42
83,21
55,21
55,42
55,42
27,42
83,63
0,42
83,21
83,0
83,63
0,42
0,42
55,63
55,21
83,0
55,42
27,0
27,21
55,42
27,0
27,21
55,63
0,42
83,21
55,42
0,21
55,42
27,42
55,21
27,21
83,21
27,63
83,21
83,63
83,0
83,42
83,21
83,42
55,0
83,21
55,42
0,63
27,0
55,0
83,0
83,0
0,0
83,0
55,42
83,0
55,63
0,21
55,21
83,63
27,42
83,0
55,42
55,42
55,42
27,42
27,42
83,0
27,21
55,0
55,0
83,0
0,0
83,42
0,42
83,21
83,63
83,63
55,42
83,63
55,0
27,0
27,63
27,63
27,21
55,63
0,42
83,42
0,21
55,63
55,42
83,21
55,63
27,42
55,21
83,42
55,63
27,63
27,21
0,63
27,21
83,42
0,63
83,21
83,42
83,21
55,42
27,42
83,63
83,42
27,0
0,63
0,42
0,0
0,21
0,42
83,0
0,21
27,21
83,21
0,21
0,42
27,42
55,42
83,0
55,42
83,42
83,63
83,21
55,63
55,42
27,42
55,21
55,63
0,42
0,21
83,42
0,42
0,21
27,42
55,21
55,42
83,63
83,63
83,63
55,42
27,21
27,42
0,0
55,63
55,0
55,63
0,0
55,63
27,0
55,63
0,0
55,0
55,42
83,63
83,0
55,42
83,63
83,63
27,42
83,42
27,63
55,63
83,63
0,0
27,21
0,21
0,63
27,63
83,0
0,63
0,63
0,63
0,0
27,42
27,21
83,0
55,0
0,63
0,63
0,63
0,0
0,63
0,63
83,0
0,63
55,42
0,63
27,42
0,63
0,0
0,63
0,63
55,21
83,0
27,21
0,0
83,0
0,63
0,63
27,0
83,42
0,63
0,63
27,0
27,63
0,63
27,21
27,42
0,63
0,21
0,42
0,63
0,63
55,42
0,63
0,63
0,63
0,63
83,21
55,21
0,63
55,21
0,63
83,42
55,0
27,42
0,63
27,21
83,0
0,63
0,63
27,21
83,63
0,63
0,63
83,0
0,63
83,21
0,21
55,42
27,21
0,63
0,63
0,63
0,21
0,63
0,42
0,42
27,21
55,42
27,63
0,63
27,0
0,42
83,21
0,63
0,63
0,0
0,63
0,63
83,63
27,21
0,63
0,42
55,42
83,63
0,63
0,63
55,42
27,63
0,63
55,21
83,21
83,63
27,21
0,63
0,63
0,63
0,63
27,21
83,21
0,63
83,21
0,63
55,21
83,0
27,42
55,21
27,21
83,63
0,21
55,21
83,0
55,21
83,0
55,21
55,21
83,0
0,0
55,21
83,42
27,63
0,0
27,0
0,21
55,21
55,63
83,42
27,21
0,0
27,63
0,0
55,0
0,0
55,0
83,42
83,42
83,63
83,42
27,21
0,63
27,0
83,0
0,42
0,21
55,21
27,42
83,0
55,63
27,0
27,0
0,42
83,63
27,0
83,63
27,0
83,0
27,63
27,0
55,0
55,42
55,42
0,21
27,0
55,0
83,63
83,0
27,0
55,21
83,42
55,21
55,0
83,42
0,42
83,63
27,0
27,63
27,0
0,0
0,63
83,42
27,42
83,63
27,42
83,42
0,63
55,63
55,63
55,63
0,0
55,21
27,21
83,21
83,63
55,21
55,0
0,21
55,63
27,21
27,0
55,0
83,21
0,0
27,0
27,42
83,42
55,42
0,21
27,0
0,0
27,63
27,0
55,21
0,0
27,21
27,63
55,21
0,63
27,21
27,0
55,21
83,63
27,0
0,42
55,42
83,63
0,42
27,42
27,21
0,0
27,63
0,21
0,42
55,42
83,21
55,63
0,42
55,21
27,21
0,0
27,42
27,0
83,42
27,21
0,63
0,21
0,63
83,63
0,63
0,21
0,0
83,63
0,21
27,0
27,0
0,21
83,63
27,21
83,21
83,21
55,63
27,0
27,63
27,0
0,63
55,63
0,42
0,0
27,0
0,42
83,0
27,42
0,21
83,21
55,0
27,0
27,42
83,0
27,63
27,0
27,21
0,63
0,0
27,21
0,63
27,0
27,0
55,21
83,21
55,63
55,21
83,63
83,42
27,0
0,63
55,42
83,63
83,63
0,42
83,63
83,63
83,21
83,21
27,21
0,63
83,42
27,0
83,0
27,42
0,42
27,63
83,63
27,42
0,0
27,21
83,42
55,0
27,0
27,0
0,0
0,42
27,63
55,63
83,21
27,63
0,21
27,21
0,63
55,0
0,0
55,42
55,0
55,42
27,63
27,63
55,0
83,21
0,0
27,21
83,42
0,0
83,21
83,63
27,0
55,0
0,0
55,0
27,42
55,63
27,63
0,0
83,0
0,0
0,42
27,42
27,0
27,0
83,0
0,63
55,0
0,63
83,21
27,63
0,0
55,63
0,0
0,0
27,42
55,63
55,0
27,63
55,63
55,63
55,0
83,0
83,21
55,21
83,63
55,63
0,63
55,42
27,21
0,0
0,0
83,0
0,0
55,0
55,21
0,63
0,0
55,0
0,42
55,0
0,21
55,0
55,0
0,0
0,63
55,21
83,21
83,0
55,42
0,21
0,21
0,0
55,0
0,0
83,21
27,21
0,42
55,0
0,0
27,42
0,63
0,0
0,21
55,42
55,63
27,42
0,42
27,0
83,21
0,0
55,63
0,0
55,63
0,0
55,21
0,63
55,42
0,0
27,21
55,21
0,42
27,63
0,42
55,0
27,0
0,0
55,0
55,0
83,0
27,0
27,0
27,21
55,42
0,21
55,0
0,21
83,42
83,21
83,21
55,63
0,21
0,21
83,21
0,21
0,0
55,63
0,63
55,42
0,0
55,42
83,0
55,21
55,42
83,63
27,21
83,21
0,42
27,42
27,21
0,0
83,21
0,42
83,63
27,0
55,42
83,21
27,42
0,42
0,0
27,21
27,0
55,42
83,42
27,63
0,42
55,42
0,42
83,42
0,42
27,42
27,21
55,21
0,21
0,42
27,21
0,21
27,21
27,0
27,0
0,0
0,63
27,0
55,63
27,0
55,42
83,42
83,63
83,63
55,42
55,21
0,0
83,42
55,21
27,63
0,21
27,63
0,42
27,21
83,42
0,63
0,63
55,42
0,42
0,0
83,0
55,63
83,21
27,0
27,63
0,63
83,21
0,63
0,0
55,42
83,21
27,0
0,42
83,21
0,42
27,21
83,21
27,21
27,42
0,42
27,63
83,63
0,0
0,0
0,42
0,0
27,63
0,0
0,0
55,63
0,0
55,21
0,63
0,21
83,0
0,21
55,0
83,0
55,0
0,0
83,63
55,21
83,21
55,42
27,0
55,0
27,0
0,63
55,63
0,21
0,21
55,63
0,42
83,0
55,63
83,42
83,0
0,42
27,0
0,0
83,21
83,21
83,0
27,42
83,0
55,42
83,0
55,21
83,21
0,42
27,0
55,0
27,21
0,21
27,21
27,0
27,21
27,21
27,21
55,42
83,21
55,63
55,63
27,21
55,63
83,0
55,42
0,21
55,21
0,63
83,42
27,0
83,63
55,42
0,21
55,21
55,0
55,63
83,63
55,63
55,42
83,42
27,21
0,0
55,42
0,42
27,0
55,63
27,0
55,63
27,0
83,63
55,42
83,63
27,42
83,42
83,0
55,0
27,0
0,63
0,42
55,42
55,42
83,0
0,63
55,42
83,0
0,0
55,42
83,0
55,21
0,63
0,63
27,21
27,63
0,0
27,21
0,0
0,42
83,21
83,42
55,63
0,0
55,21
27,0
27,42
0,63
0,42
55,63
27,21
0,0
83,63
27,0
55,42
27,42
55,42
55,42
55,42
55,21
27,21
55,63
55,21
83,42
55,63
27,42
83,42
0,21
0,42
0,42
0,0
55,42
55,42
83,42
55,42
83,0
0,0
55,42
27,42
27,63
83,0
27,0
83,21
83,21
0,0
27,63
55,0
0,42
0,0
27,42
27,63
83,0
55,0
0,42
27,63
27,21
27,63
83,63
0,0
27,21
55,21
55,0
27,42
55,21
0,21
55,42
0,0
0,21
0,42
27,21
0,63
83,21
83,0
83,0
55,21
0,63
83,63
0,42
27,42
27,63
0,42
0,0
55,0
55,0
27,0
0,21
0,0
83,21
0,42
83,21
55,42
27,42
0,0
27,0
83,21
83,21
55,0
27,63
55,21
83,0
83,0
83,21
27,0
83,21
0,42
83,21
55,21
0,21
83,42
83,0
27,21
83,0
27,42
55,42
83,63
27,42
0,63
0,42
27,21
55,42
27,0
0,21
0,21
55,63
83,0
55,63
55,0
83,42
27,21
55,63
0,42
0,21
27,21
27,42
83,21
0,42
0,63
27,21
83,42
55,63
83,42
83,42
0,63
55,0
55,63
55,63
55,42
27,0
83,21
55,0
27,42
0,21
55,21
27,21
55,42
55,42
0,42
0,0
0,63
83,21
27,0
55,42
27,0
0,21
55,42
0,21
27,21
27,0
55,63
55,63
0,0
27,0
83,42
55,0
55,0
0,42
83,21
0,0
0,21
55,0
0,63
55,0
83,63
55,0
55,63
83,21
83,63
83,21
27,63
55,63
0,21
27,42
55,63
27,0
83,21
27,42
0,0
83,63
27,42
0,63
27,21
27,42
0,63
0,42
83,63
55,0
0,63
0,63
27,63
55,63
55,63
55,21
55,63
55,0
0,21
55,63
0,0
27,63
83,21
27,0
83,0
55,63
83,0
55,63
55,63
27,42
55,63
55,42
0,0
0,21
0,63
55,63
55,63
83,21
83,63
27,21
55,63
83,42
27,21
83,42
27,63
55,0
0,63
55,0
27,0
55,0
83,21
27,0
0,63
27,21
83,21
83,63
55,63
55,63
55,0
0,63
55,63
55,63
55,63
55,63
55,63
55,63
55,0
27,0
55,21
27,21
0,0
0,63
0,0
55,0
55,63
55,42
83,21
55,63
55,63
83,63
55,21
27,0
55,0
55,21
55,0
55,0
55,0
83,63
55,0
55,0
55,0
55,0
55,21
55,0
83,63
55,63
55,63
55,0
83,21
0,0
83,63
27,21
55,0
55,0
55,0
55,0
55,0
55,0
55,0
55,21
55,0
55,0
55,0
55,0
55,42
27,0
55,0
55,42
55,0
0,63
0,63
55,0
0,63
55,0
27,21
55,0
83,42
83,21
55,21
83,63
0,63
55,63
55,0
55,0
27,42
83,0
55,0
55,21
27,0
55,42
55,0
0,42
83,63
55,63
27,63
55,0
55,0
55,0
55,0
55,42
55,21
55,0
27,0
55,0
83,0
55,0
55,0
55,21
83,63
55,0
27,0
27,0
55,0
83,63
55,0
55,42
27,0
55,0
55,0
83,0
83,63
55,0
27,63
27,63
0,21
55,0
83,63
27,0
27,63
27,21
55,0
55,0
0,42
83,63
55,0
0,42
55,21
55,0
0,63
55,0
0,0
83,63
0,21
27,42
55,63
55,0
0,0
55,0
55,0
27,0
0,63
55,0
55,21
27,63
55,0
27,0
83,21
0,21
55,63
27,63
83,63
0,0
83,42
27,63
0,42
27,42
55,42
83,21
0,0
0,0
83,21
27,0
27,21
55,42
83,21
0,42
0,21
0,42
83,21
27,21
83,21
83,42
0,0
83,21
83,21
55,0
0,21
55,0
27,0
27,63
83,63
55,63
83,63
83,0
83,42
55,63
0,21
0,42
27,63
27,21
27,21
0,42
55,0
0,0
83,63
83,42
27,42
55,0
27,21
27,0
27,21
55,21
27,21
83,0
27,21
83,21
83,42
27,63
27,21
55,0
0,21
27,21
27,0
55,0
27,63
55,0
0,0
83,0
0,21
27,63
55,63
27,21
0,0
83,21
27,21
0,21
0,0
27,21
55,21
27,21
83,21
0,21
55,42
55,21
55,0
0,63
55,42
55,42
83,21
0,0
83,63
27,42
0,0
0,0
0,0
55,42
27,63
0,42
83,0
83,0
0,0
83,0
83,0
27,42
83,0
27,63
83,21
83,63
27,42
83,21
83,21
55,42
55,21
83,42
83,21
83,63
83,42
27,42
0,42
27,63
0,42
27,63
0,21
0,42
27,63
83,63
27,63
27,63
83,0
27,63
55,21
27,63
0,21
83,42
83,42
0,42
27,63
0,42
27,63
27,63
83,21
83,63
83,21
55,63
83,0
0,42
55,63
0,42
27,63
83,0
27,63
27,63
0,42
27,63
27,63
0,21
0,42
55,0
27,63
83,0
55,42
27,63
83,21
83,42
27,63
27,0
55,42
83,42
83,21
55,0
0,42
0,21
0,0
55,0
27,42
55,21
83,63
0,0
27,21
55,63
0,0
27,63
83,63
55,42
83,21
0,21
83,63
83,21
27,42
55,0
0,0
27,42
0,0
27,63
27,63
55,0
0,42
55,42
55,63
83,42
27,63
27,42
83,42
55,42
0,42
83,42
27,42
83,42
55,42
55,42
27,63
27,0
83,42
27,0
83,0
83,63
55,0
27,63
0,63
27,42
55,63
27,63
83,0
83,42
55,0
83,63
27,63
0,42
55,42
0,63
83,42
27,0
27,21
55,63
27,0
55,0
27,21
83,21
27,21
27,63
0,0
27,0
55,21
27,63
27,0
0,21
83,42
0,0
27,0
27,42
55,0
83,42
83,0
0,0
27,21
83,63
83,21
55,0
0,0
27,0
83,21
83,0
27,21
27,42
27,63
27,0
83,0
27,0
0,21
0,0
0,21
55,21
55,21
83,42
55,42
0,42
55,0
0,63
83,42
83,0
83,42
83,42
0,0
55,0
83,0
55,42
83,21
0,63
0,42
27,42
55,21
27,63
27,21
55,63
27,63
27,0
55,0
0,63
55,0
55,0
55,63
55,42
55,42
0,63
83,42
83,42
83,63
55,63
27,63
0,63
0,42
55,63
55,21
0,63
27,63
27,42
83,0
0,63
27,42
0,63
83,0
0,63
27,0
55,0
55,21
55,0
55,0
0,0
0,0
0,42
55,21
83,21
0,0
0,0
27,21
0,0
0,63
0,63
0,63
55,0
0,0
0,0
83,42
27,63
0,0
0,0
0,0
55,42
83,0
0,42
55,42
55,63
55,21
27,42
27,42
0,21
27,63
27,0
0,21
55,21
83,0
0,42
83,63
27,63
83,21
83,0
55,21
27,63
27,63
0,42
27,63
55,42
83,42
27,63
55,21
27,42
83,63
0,42
27,0
27,63
27,21
0,0
55,63
0,0
27,21
83,63
83,63
0,21
55,42
83,42
0,21
55,42
27,21
55,42
0,21
0,21
27,63
27,42
0,0
0,63
27,42
27,0
55,42
83,0
0,21
55,21
55,63
55,63
83,42
27,21
83,42
55,21
83,42
0,21
55,0
55,0
83,21
0,42
55,21
55,0
83,21
83,21
27,42
83,42
55,0
27,63
55,63
27,63
55,42
27,21
55,63
27,63
27,0
55,0
83,21
55,0
27,21
83,63
83,0
83,21
83,42
83,42
0,21
83,42
55,21
55,63
0,63
27,0
55,63
27,0
0,42
55,42
27,42
83,21
55,21
83,0
55,0
27,63
83,0
0,21
83,21
27,63
83,0
0,42
27,42
83,21
0,21
55,0
55,0
27,42
83,42
83,63
55,0
83,0
27,42
55,21
83,0
27,42
55,42
83,21
55,0
55,21
83,42
55,21
83,42
83,42
83,0
27,63
0,63
0,0
0,21
55,21
27,21
0,21
55,0
55,21
55,63
83,63
27,21
83,21
83,21
55,21
83,42
55,63
27,42
83,21
0,63
55,21
83,42
83,42
83,42
27,42
83,21
83,42
55,0
0,21
83,21
27,42
27,63
0,42
83,42
83,63
55,63
0,63
27,42
83,42
27,42
27,63
55,42
83,42
55,63
0,0
27,0
0,63
27,63
27,42
27,0
0,42
0,0
83,63
83,21
27,0
27,21
0,63
27,42
83,21
83,21
55,63
55,63
55,63
83,42
0,21
0,63
55,63
0,21
83,21
83,42
55,42
0,0
55,63
0,21
0,0
55,42
83,0
55,63
83,42
27,0
83,21
55,21
27,42
83,21
0,42
0,63
27,21
55,63
83,42
0,63
27,21
27,21
27,21
27,21
83,42
0,42
0,0
83,63
55,21
27,21
83,42
55,21
83,63
27,21
27,21
55,21
27,42
55,21
27,63
0,63
0,0
0,42
0,42
0,42
0,42
27,21
0,42
0,42
83,42
83,0
0,42
83,21
55,42
27,42
83,0
0,21
0,63
83,0
0,42
83,42
27,21
55,42
0,0
0,63
55,0
0,0
55,0
55,0
83,21
55,21
83,63
0,0
27,63
55,21
27,21
27,63
27,21
83,42
83,0
55,21
55,42
0,63
0,63
83,42
27,0
55,21
0,21
0,21
0,21
0,21
83,21
0,0
0,0
55,42
0,0
83,63
27,63
83,21
27,0
83,21
83,21
83,63
27,0
27,0
55,42
83,0
83,63
27,42
27,63
0,21
0,21
83,21
0,21
55,21
0,63
83,21
0,21
83,21
55,42
55,0
83,63
0,0
0,21
0,42
83,63
55,0
83,42
27,21
27,63
0,21
0,21
83,21
55,63
83,42
55,42
27,0
0,21
55,0
83,63
0,21
27,21
55,42
0,21
0,21
83,21
0,0
83,42
27,63
0,21
83,63
0,21
0,21
83,21
55,21
55,63
83,0
83,42
27,21
55,21
27,42
55,63
27,42
83,63
55,63
27,21
83,21
55,63
0,42
55,63
83,21
83,21
83,42
83,42
83,63
27,63
55,42
55,0
83,42
55,21
83,0
0,42
83,63
55,21
0,21
83,0
27,21
55,21
55,0
0,0
83,21
83,42
27,21
55,21
0,0
55,21
0,42
55,21
83,0
55,63
83,42
27,63
27,21
83,42
27,21
55,21
55,21
55,21
27,21
0,21
27,0
27,21
83,0
0,21
27,0
0,21
27,21
55,63
0,21
0,42
0,63
27,21
0,0
0,21
0,21
0,21
0,21
55,63
55,21
55,42
0,21
83,42
83,21
27,21
0,0
0,42
27,21
27,0
0,63
55,42
0,42
55,63
27,21
0,63
0,63
27,42
83,42
0,63
55,42
27,21
27,21
0,42
0,63
0,0
0,63
55,42
55,42
83,42
83,0
55,21
55,21
55,0
55,42
83,21
0,42
0,0
83,21
27,42
55,21
83,63
27,0
55,0
0,21
55,0
27,0
27,21
55,63
0,63
0,21
27,21
27,21
27,21
0,21
55,42
83,63
83,0
55,63
27,42
27,42
27,42
27,63
0,0
27,42
27,21
0,0
0,63
0,21
55,0
27,42
55,63
27,21
83,42
27,0
27,21
83,63
0,0
83,63
0,0
55,21
55,63
0,63
83,63
27,0
0,63
27,21
83,21
83,0
55,0
55,42
27,0
27,21
55,0
0,21
83,42
27,0
27,0
55,42
55,21
83,21
83,21
27,21
55,42
0,21
27,21
0,63
83,21
55,0
55,0
27,21
83,63
83,0
27,42
55,0
0,21
27,21
55,42
83,0
0,0
83,0
55,42
0,0
27,21
27,0
0,0
27,21
83,21
83,42
55,0
55,0
55,42
27,63
55,0
0,63
55,0
0,63
83,42
55,0
55,0
0,42
55,0
27,42
55,42
55,42
83,0
55,0
55,0
27,21
83,0
27,21
27,0
27,0
0,42
83,42
83,21
27,0
83,42
0,21
83,21
27,21
55,0
55,0
27,42
55,21
55,21
83,42
27,42
55,42
27,0
0,21
55,42
27,21
55,63
55,21
83,21
55,21
55,63
55,42
55,42
27,42
83,63
27,63
27,0
83,21
0,42
0,21
27,42
55,21
83,42
0,21
55,63
55,63
83,63
27,42
0,63
27,63
27,21
83,63
55,21
83,63
27,63
0,21
83,0
0,21
0,21
0,63
0,42
0,21
55,42
55,42
83,42
27,21
83,0
55,0
27,0
27,0
55,0
0,63
55,63
27,42
27,0
27,0
0,21
83,63
55,63
0,0
0,21
0,21
55,63
83,0
0,42
0,42
0,0
0,42
83,0
55,21
83,0
27,0
0,0
83,21
55,42
0,21
83,63
0,63
27,21
27,21
83,0
55,63
55,42
55,0
83,0
55,21
83,42
55,0
55,42
83,42
83,0
27,0
83,42
83,0
83,21
55,63
55,63
55,63
27,0
0,21
27,0
0,21
27,21
83,42
55,21
83,42
27,63
27,21
0,42
0,21
0,42
55,63
55,21
27,63
0,21
0,63
83,0
0,63
83,63
55,0
55,21
27,63
27,63
55,0
27,63
0,63
27,21
0,21
27,63
27,21
0,42
55,42
0,42
27,21
27,0
0,63
27,21
0,21
55,63
0,42
55,0
27,0
83,42
0,21
0,0
27,42
55,42
0,0
55,21
27,0
55,42
83,42
27,21
27,21
55,63
55,21
55,0
55,21
55,63
55,63
0,0
55,0
27,0
83,21
83,0
27,0
0,42
0,42
0,63
0,21
27,0
55,0
83,21
27,42
27,0
0,42
27,0
83,0
0,63
0,21
0,42
27,21
55,63
0,21
55,63
0,0
27,0
55,21
83,21
0,42
55,0
0,42
0,42
0,21
55,21
83,42
0,21
83,63
0,21
55,63
27,21
83,63
55,0
0,42
0,21
83,21
55,21
27,63
27,42
27,63
0,21
0,21
27,0
55,21
27,63
27,0
55,0
0,42
55,0
83,21
55,0
0,21
27,42
0,21
27,63
55,42
83,21
55,0
55,63
83,42
83,42
27,63
0,0
0,0
55,21
27,0
83,42
83,0
27,0
0,0
27,63
27,63
27,21
27,21
0,0
27,63
83,21
83,42
0,0
27,63
55,63
0,21
55,0
55,0
0,42
27,63
27,21
55,42
0,42
83,63
55,63
0,21
0,63
83,21
55,0
27,63
27,0
0,0
55,21
55,0
55,0
27,63
27,63
27,21
55,21
83,42
83,21
0,0
55,42
83,21
0,21
27,42
55,0
83,21
27,63
83,21
83,0
27,63
0,63
83,21
83,63
27,42
27,63
27,0
55,0
83,21
0,0
27,0
55,21
83,63
55,21
83,21
83,42
0,42
83,63
27,21
27,0
27,42
0,21
83,42
55,0
0,21
83,21
27,0
83,21
0,63
0,63
0,21
83,21
55,0
27,42
0,42
0,21
27,63
83,63
83,63
0,63
0,0
0,21
27,63
0,0
83,21
83,21
83,21
0,21
27,42
27,21
0,21
55,21
55,0
27,42
83,0
27,42
0,0
83,21
27,63
27,42
55,63
0,0
83,21
83,42
27,0
0,21
83,21
55,42
83,63
83,63
83,0
27,63
83,63
83,63
27,0
0,21
27,0
27,0
55,63
0,63
27,0
83,21
83,42
55,42
0,0
0,63
83,63
27,0
27,0
27,0
55,21
55,21
27,0
83,42
27,63
27,0
0,0
27,42
0,0
83,0
0,42
83,0
27,0
55,0
27,21
83,21
83,0
55,21
83,63
0,63
55,42
83,63
83,63
83,42
27,21
27,63
55,21
55,63
27,42
27,63
83,0
83,63
0,0
83,63
83,0
0,0
0,21
27,0
0,0
83,63
0,42
83,63
83,0
27,0
27,63
0,63
83,21
27,0
27,0
83,42
83,63
83,21
0,63
83,63
83,63
83,0
83,42
0,21
27,21
83,21
27,42
83,63
83,0
83,21
83,21
27,0
0,63
55,21
55,42
27,21
0,42
55,21
55,0
55,63
83,0
55,0
55,63
27,42
55,42
83,63
0,0
55,42
0,42
83,42
83,0
83,0
83,21
27,21
55,42
27,42
27,0
55,0
27,0
0,0
27,42
0,63
27,0
0,0
0,63
27,42
83,0
27,0
27,0
83,0
0,63
83,0
83,63
55,21
55,21
55,21
0,21
55,21
0,0
0,21
55,0
27,63
0,0
0,21
0,21
27,42
0,21
0,21
0,21
0,21
83,0
0,63
55,0
27,21
27,21
0,63
55,42
55,63
0,0
0,0
55,0
0,63
0,63
27,0
0,0
27,42
55,21
83,21
83,63
83,63
55,42
83,42
55,0
27,21
27,42
83,63
83,21
55,0
83,21
27,63
27,0
0,42
55,21
55,0
55,0
55,42
55,63
0,42
0,0
83,42
27,42
55,42
83,21
55,63
27,42
55,21
0,42
27,63
55,63
55,63
27,21
27,21
0,42
83,63
0,63
55,63
27,0
0,0
0,0
83,21
55,21
0,21
0,0
55,0
0,63
0,21
83,0
83,42
0,42
27,0
83,63
55,21
0,0
27,63
83,0
55,63
55,63
55,0
83,0
55,21
55,0
27,0
27,63
83,42
0,21
0,0
55,0
55,21
83,21
0,0
55,0
55,0
83,63
27,42
55,0
27,0
83,21
55,0
55,0
27,63
27,21
83,0
0,42
83,63
83,63
55,42
83,63
0,0
83,63
27,63
0,42
27,21
55,0
0,63
55,0
0,0
0,42
0,0
27,42
0,63
83,0
83,63
0,21
27,42
0,21
27,42
83,63
27,63
55,42
0,42
83,0
0,63
83,21
83,0
83,42
55,21
55,42
27,42
83,63
55,21
0,21
27,63
55,0
83,63
83,0
83,21
83,63
83,63
0,63
83,21
27,42
27,42
83,63
0,63
0,63
55,63
83,21
55,63
27,63
83,21
0,42
83,21
83,63
0,63
55,42
83,0
27,42
55,0
0,42
83,21
27,21
27,21
27,42
83,0
27,42
0,63
0,63
83,63
83,63
55,42
0,42
55,0
55,0
0,0
83,63
55,42
0,42
0,42
55,42
55,0
27,0
27,42
0,42
0,63
55,42
55,21
55,42
27,63
27,63
55,0
55,63
27,63
55,0
27,63
55,0
0,63
83,63
55,0
55,21
83,21
0,42
55,0
27,0
27,63
55,0
